window_idx,t0,t1,x0,y0,yaw0,xt,yt,yawt,v0,vt,dyaw_deg,xr_true,yr_true,xr_pred,yr_pred,err_x,err_y,err_dist
2253,11265,11279,0.8176166415214539,-0.3527434468269348,-74.87944030761719,0.9114906787872314,-0.7740203738212585,-81.34484100341797,0.7024540305137634,0.6357092261314392,-6.465400695800781,0.43117906728310174,-0.01926644822565217,0.4581373631954193,-0.1920117735862732,0.02695828676223755,-0.17274531722068787,0.17483619146741647
2254,11270,11284,0.8566502332687378,-0.5037280321121216,-75.53207397460938,0.9222840666770935,-0.9352958798408508,-86.49982452392578,0.743549644947052,0.7589734196662903,-10.967750549316406,0.43427964293586074,-0.044269617262686065,0.4384949505329132,-0.1222875788807869,0.0042153000831604,-0.07801796495914459,0.07813175801911414
2255,11275,11289,0.894096851348877,-0.659753143787384,-77.05384063720703,0.9698249101638794,-1.086981177330017,-71.39161682128906,0.7517448663711548,0.7546570301055908,5.662223815917969,0.4333340944500117,-0.02191105026652157,0.4632210433483124,-0.01069127768278122,0.029886960983276367,0.011219773441553116,0.031923561093582034
2256,11280,11294,0.9138592481613159,-0.7975581288337708,-82.49351501464844,1.0575523376464844,-1.188368320465088,-48.218441009521484,0.635613739490509,0.6188257932662964,34.27507400512695,0.40623281650860477,0.09140683038036995,0.44453164935112,0.029692169278860092,0.038298845291137695,-0.06171466037631035,0.07263264318471296
2257,11285,11299,0.9260413646697998,-0.956943929195404,-85.66737365722656,1.1648184061050415,-1.2979621887207031,-49.169410705566406,0.6389749646186829,0.6086976528167725,36.497962951660156,0.3580825049499047,0.21233192999413175,0.4146554172039032,0.13011637330055237,0.056572914123535156,-0.0822155624628067,0.09979926514511293
2258,11290,11304,0.9825852513313293,-1.1044678688049316,-64.8992919921875,1.2386130094528198,-1.4437782764434814,-65.37512969970703,0.615647554397583,0.6411740183830261,-0.47583770751953125,0.415876831884801,0.08791033137246293,0.44064584374427795,0.07024487107992172,0.02476900815963745,-0.01766546070575714,0.03042321921097168
2259,11295,11309,1.0924581289291382,-1.2142224311828613,-43.14789581298828,1.277068853378296,-1.6066310405731201,-77.6673812866211,0.7308605909347534,0.7869075536727905,-34.51948547363281,0.40305222734,-0.16004542586873427,0.4206588566303253,-0.011960960924625397,0.017606616020202637,0.14808446168899536,0.14912746467838306
2260,11300,11314,1.1900382041931152,-1.3378032445907593,-53.29828643798828,1.2787586450576782,-1.7754946947097778,-91.03219604492188,0.7402313351631165,0.7906750440597534,-37.733909606933594,0.4039462151381756,-0.19045360960095892,0.4057590365409851,-0.10020080953836441,0.0018128156661987305,0.09025279432535172,0.09027099857747146
2261,11305,11319,1.2465101480484009,-1.4668585062026978,-67.3359146118164,1.2364522218704224,-1.937379240989685,-105.68626403808594,0.6417925953865051,0.7800045609474182,-38.35034942626953,0.4303114343989187,-0.19058592069991198,0.47552719712257385,-0.22938093543052673,0.045215755701065063,-0.03879500925540924,0.059577825629555214
2262,11310,11324,1.2813483476638794,-1.6317589282989502,-79.76180267333984,1.1810561418533325,-2.0750601291656494,-112.17681121826172,0.6786921620368958,0.6828815937042236,-32.415008544921875,0.41841664289378366,-0.1774880113858359,0.48547789454460144,-0.26856550574302673,0.06706124544143677,-0.09107749164104462,0.11310313931885876
2263,11315,11329,1.2747957706451416,-1.800842046737671,-93.71481323242188,1.0909429788589478,-2.23591685295105,-119.64982604980469,0.7126821875572205,0.7445827722549438,-25.935012817382812,0.4460725496679497,-0.15527786861597942,0.4633044898509979,-0.16650325059890747,0.01723194122314453,-0.011225387454032898,0.020565726872908408
2264,11320,11334,1.2279224395751953,-1.9600847959518433,-108.09773254394531,1.0514169931411743,-2.3878748416900635,-102.34160614013672,0.7820649147033691,0.7939689755439758,5.756126403808594,0.46145587001161353,-0.034885181458699815,0.4518028199672699,-0.11236120015382767,-0.009653061628341675,-0.07747601717710495,0.07807505899086868
2265,11325,11339,1.1579145193099976,-2.1182639598846436,-114.22708129882812,1.0732603073120117,-2.563276767730713,-81.73928833007812,0.8075204491615295,0.8386017680168152,32.48779296875,0.44055706965547725,0.10541443512451948,0.4514792859554291,-0.04377478361129761,0.010922223329544067,-0.14918921887874603,0.14958849552058082
2266,11330,11344,1.0822720527648926,-2.2468528747558594,-120.35550689697266,1.1120511293411255,-2.7375237941741943,-78.64909362792969,0.681672990322113,0.8386533260345459,41.70641326904297,0.4083537939773527,0.2736638878421285,0.4037894606590271,0.07922908663749695,-0.004564344882965088,-0.19443479180335999,0.1944883582835399
2267,11335,11349,1.0513533353805542,-2.4123857021331787,-96.82290649414062,1.1001726388931274,-2.8943166732788086,-95.38875579833984,0.7096539735794067,0.7175489664077759,1.4341506958007812,0.4727182009878078,0.10572742217453926,0.4524659216403961,-0.02645990252494812,-0.0202522873878479,-0.13218732178211212,0.13372973934158264
